"date","srad","tmin","tmax","vapr","wind","prec"
1974-01-01,1010,-4.3,-0.3,0.426,2.7,0
1974-01-02,2520,-3.8,-0.2,0.429,3.1,0
1974-01-03,2930,-0.2,2.7,0.536,4,0
1974-01-04,1030,-0.8,4.5,0.524,3.9,0
1974-01-05,2080,1.3,6.1,0.57,4.9,0
1974-01-06,2170,5.4,9,0.798,4.1,0
1974-01-07,850,3.1,7.1,0.702,5,0.5
1974-01-08,2350,0.8,6.4,0.589,5.2,7
1974-01-09,3070,0.9,5.4,0.587,4,1
1974-01-10,800,2.4,5.1,0.675,4.3,2
1974-01-11,2550,3.2,10.4,0.661,7.3,3.5
1974-01-12,1670,4.3,10.6,0.714,4.6,2.5
1974-01-13,1790,5.7,10.6,0.769,5.8,0
1974-01-14,1870,3.3,10.4,0.712,5,2.5
1974-01-15,690,6.2,12.1,0.768,8.8,0.5
1974-01-16,570,3.5,10.9,0.644,6.8,2.5
1974-01-17,3290,4.6,8.1,0.679,9.4,9
1974-01-18,1330,7.3,8.8,0.89,6.9,1.5
1974-01-19,5370,5.3,9.2,0.766,6.3,0.5
1974-01-20,1620,4.8,7.6,0.74,3.2,0
1974-01-21,1180,1.2,4.8,0.6,2.8,0
1974-01-22,780,1.3,4,0.604,3.9,0
1974-01-23,1680,3.9,9.3,0.719,4.7,0
1974-01-24,1760,3.5,7.7,0.699,4.6,3.5
1974-01-25,2210,2.2,7.9,0.651,3.9,0
1974-01-26,5090,1.8,7.9,0.556,4.9,0
1974-01-27,2960,1.6,7.6,0.596,5,0.5
1974-01-28,1910,3.4,7.6,0.686,6.6,0.5
1974-01-29,2430,1.4,6.9,0.581,4.4,4.5
1974-01-30,4780,1.3,7.8,0.523,5.6,2
1974-01-31,2830,2,9.3,0.586,4.6,0.5
1974-02-01,2670,1,9.3,0.552,4.9,0
1974-02-02,5700,4.3,9,0.64,6,0
1974-02-03,6630,-0.3,8.3,0.514,3.8,0
1974-02-04,5760,-0.8,7.5,0.472,4.6,0
1974-02-05,3010,2.9,6.4,0.677,3.7,5.5
1974-02-06,1360,0.3,4.2,0.58,2.9,2
1974-02-07,6380,-0.4,6.2,0.498,4.7,0
1974-02-08,4000,1.8,9.3,0.584,5.8,0
1974-02-09,960,6.8,10.8,0.88,9.2,4.5
1974-02-10,3880,6.1,12.6,0.8,7.9,9
1974-02-11,2010,8.8,12.4,0.906,9.8,3.5
1974-02-12,5360,1.7,9.8,0.587,5.5,1.5
1974-02-13,7150,0,10.6,0.531,3,0
1974-02-14,1960,1.2,7.3,0.593,4,0.5
1974-02-15,3420,1.4,7.7,0.493,5.5,0
1974-02-16,7520,1.4,11.6,0.568,3.2,0
1974-02-17,2880,1.2,5.6,0.613,3.1,0
1974-02-18,4940,3.8,7.5,0.69,4,0
1974-02-19,1720,2.3,4.3,0.577,5.9,0
1974-02-20,9110,-0.4,5.2,0.445,1.9,0
1974-02-21,1780,1,6.1,0.617,4.5,0
1974-02-22,1510,3.2,8.4,0.692,4,0
1974-02-23,8080,0.6,8.1,0.542,4.4,5.5
1974-02-24,10240,-0.6,8.2,0.473,2.8,0.5
1974-02-25,7660,-1.6,6,0.467,1.8,0
1974-02-26,6580,-0.9,6.6,0.412,3.6,0
1974-02-27,7930,-0.1,4.3,0.382,5.2,0
1974-02-28,8900,-1.6,6.1,0.418,3.3,0
1974-03-01,7900,-1.9,5.4,0.393,4.2,0
1974-03-02,2000,0.2,3.4,0.576,2.8,3.5
1974-03-03,11770,-0.6,7.4,0.456,2.6,6.5
1974-03-04,3040,-1.3,4.1,0.478,4.2,0
1974-03-05,1590,-0.8,2.6,0.536,2.3,0.5
1974-03-06,4220,0,4.4,0.568,2.4,3
1974-03-07,2950,-0.4,3.4,0.475,3.1,0
1974-03-08,6750,-1.1,4.3,0.423,5.7,0
1974-03-09,5080,-0.6,3,0.38,5.8,0
1974-03-10,11340,-0.9,7.3,0.366,6,0
1974-03-11,4930,-1.2,7.8,0.442,5,0
1974-03-12,1870,-0.5,6.2,0.559,2.4,1
1974-03-13,4370,0,4.2,0.586,1.3,2
1974-03-14,5370,-0.5,5.6,0.548,2.9,0
