"date","srad","tmin","tmax","vapr","wind","prec"
1976-01-01,1760,0.5,8.7,0.7,7.5,14.2
1976-01-02,1960,2.3,9.1,0.79,9,19.2
1976-01-03,1920,2.8,9.9,0.65,20,1.2
1976-01-04,2180,1.5,5.6,0.59,9,1.1
1976-01-05,580,2,9,0.9,7.5,5.5
1976-01-06,2290,3.2,8.2,0.87,5,3
1976-01-07,1760,6.4,8.2,0.95,7,0
1976-01-08,1030,7,8.3,0.92,9.5,0
1976-01-09,450,5.2,8.3,0.93,6,10.7
1976-01-10,1730,4.4,7.6,0.89,7.5,5.6
1976-01-11,1140,7.9,10,1.02,10,3.4
1976-01-12,2610,8,9.3,0.96,9.5,0
1976-01-13,2020,5.2,8.9,0.9,5.5,1
1976-01-14,1170,6.7,8.1,0.86,10.5,1.4
1976-01-15,2130,6.1,8,0.86,8.5,0.9
1976-01-16,2750,6.2,8.4,0.92,6,0.3
1976-01-17,3500,4.1,7.5,0.77,5,0.1
1976-01-18,1170,5.4,7.5,0.84,7,0.9
1976-01-19,3240,5,7.7,0.8,10.5,2
1976-01-20,1680,6.2,9.4,0.83,16,0.5
1976-01-21,1660,3.8,8.1,0.73,15,1.1
1976-01-22,1360,4.2,9.4,0.8,11,1.8
1976-01-23,2590,1.9,8.4,0.69,11.5,4
1976-01-24,2650,0.6,4.6,0.59,6,3.9
1976-01-25,2940,-3.8,4.2,0.57,5,1.3
1976-01-26,2950,-3.3,3.9,0.58,4.5,7.2
1976-01-27,5540,-2.3,3.9,0.54,6.5,0.1
1976-01-28,3600,-5.5,-2.2,0.43,4.5,0.1
1976-01-29,5930,-6.9,-3.6,0.35,8,0.1
1976-01-30,5460,-7.4,-3.7,0.31,9.5,0
1976-01-31,5570,-7.1,-3.3,0.32,9.5,0
1976-02-01,5200,-7.3,-4.1,0.31,7,0
1976-02-02,1130,-5.3,-1.8,0.4,4.5,0
1976-02-03,770,-2,-1.3,0.48,3.5,0
1976-02-04,1130,-2.8,-0.5,0.47,5.5,0
1976-02-05,1510,-1.9,0.5,0.51,8,0
1976-02-06,4100,-2.1,0.4,0.5,8,0
1976-02-07,2810,-4.2,0.8,0.49,3.5,0.1
1976-02-08,1490,0.8,3.4,0.64,3,0.3
1976-02-09,5270,0.9,7,0.71,5,0.2
1976-02-10,6290,1.3,6.3,0.73,7,5.9
1976-02-11,3000,0.4,4.1,0.63,7.5,4.6
1976-02-12,2290,2,4.9,0.71,8,5.1
1976-02-13,1660,1,5.1,0.66,8.5,2.3
1976-02-14,4410,-0.3,2.4,0.51,7,0
1976-02-15,6280,-1,1.4,0.45,4,0
1976-02-16,6720,-1.8,0.7,0.49,6,0
1976-02-17,2130,0.1,1.9,0.57,7,0
1976-02-18,4470,0,3.5,0.6,4,0
1976-02-19,7170,0,7.7,0.68,3.5,0
1976-02-20,5090,1.4,10.9,0.74,3.5,0
1976-02-21,5330,0.8,10.2,0.78,3,0
1976-02-22,6720,1.4,9.8,0.73,4,0
1976-02-23,6370,0.1,11.8,0.8,4.5,0
1976-02-24,3210,0.3,7.2,0.83,6,1.1
1976-02-25,8370,3.5,7.8,0.82,7.5,0.2
1976-02-26,10130,2.4,8.7,0.81,5,0.2
1976-02-27,5120,0.3,9.7,0.81,2,0
1976-02-28,9560,1.8,10.7,0.79,4,0
1976-02-29,4090,3.4,7.2,0.83,8,2.3
1976-03-01,11660,3.6,7.2,0.74,7.5,0
1976-03-02,9350,1.9,7.9,0.72,3.5,0
1976-03-03,12410,1.1,7.7,0.61,6,0
1976-03-04,12270,0.4,7.5,0.52,8,0
1976-03-05,13100,-1.5,2.4,0.46,8,0
1976-03-06,10890,-2.5,1.9,0.45,7,0
1976-03-07,6110,-2.5,0,0.44,5,0
1976-03-08,10560,-5.6,1.7,0.44,2,0.1
1976-03-09,10170,-6.6,2.2,0.46,1.5,0.1
1976-03-10,6010,-4.9,3.1,0.51,4.5,0.3
1976-03-11,8560,0.9,7.2,0.49,5.5,0
1976-03-12,7420,0.8,8.2,0.48,7.5,0.1
1976-03-13,4030,0.7,7.6,0.67,5,6.5
1976-03-14,9680,1,6.6,0.61,5,0
1976-03-15,9900,0.7,6.7,0.6,6,0.3
1976-03-16,3120,0.8,2.1,0.56,6,0
1976-03-17,3260,0.6,3.4,0.57,5,0
1976-03-18,4650,1.1,2.7,0.58,4,0
1976-03-19,14080,0.8,3.4,0.5,5.5,0
1976-03-20,14580,-0.8,6.2,0.52,3.5,0
1976-03-21,15940,-1.4,4.7,0.42,8,0
