"date","srad","tmin","tmax","vapr","wind","prec"
1969-01-01,1214,-6.7,5.7,0.652,2.4,3.2
1969-01-02,670,1.2,7.7,0.854,3.3,0
1969-01-03,1465,3.4,4.2,0.615,1.5,0
1969-01-04,837,-0.4,1.2,0.531,1.5,0
1969-01-05,1089,-2.7,0.8,0.465,1.3,0
1969-01-06,586,-2.7,0.2,0.412,2.3,0
1969-01-07,2386,-1.5,2.3,0.493,4,0
1969-01-08,1507,-0.8,2.8,0.629,2.7,0
1969-01-09,1884,0.4,4.7,0.706,1.3,0.2
1969-01-10,1884,-0.7,1.4,0.547,3.6,0.4
1969-01-11,419,-1.1,3.3,0.696,2.7,0.3
1969-01-12,1758,0.3,5.6,0.681,2.7,0.7
1969-01-13,879,1.2,10.2,0.885,4.4,0.1
1969-01-14,3349,5.2,9.1,0.758,3,7.2
1969-01-15,1633,3.4,5.7,0.706,2.6,1.9
1969-01-16,1382,3.6,7.2,0.731,4.2,0
1969-01-17,1298,2.4,6.6,0.731,3.8,0.7
1969-01-18,670,2.8,7.7,0.854,5.1,2.7
1969-01-19,586,4.7,6.7,0.842,3.2,1
1969-01-20,3014,0.3,7,0.785,2,0.5
1969-01-21,3014,1.1,7.7,0.747,3.9,0
1969-01-22,1465,3.8,10.7,1.03,2.7,9.3
1969-01-23,3056,7.2,8.2,0.866,1.3,0
1969-01-24,1256,2.6,8.3,0.785,1.3,0.3
1969-01-25,1005,2.3,9.7,1.11,1.7,0
1969-01-26,1758,7.7,9.6,1.016,2.4,0
1969-01-27,963,4.4,7.8,0.91,2.7,0
1969-01-28,2219,5.1,10.6,0.897,3.1,5.2
1969-01-29,2386,5.5,7.7,0.831,3.8,0
1969-01-30,670,4.3,8.6,0.802,3.9,0
1969-01-31,3475,5,7.5,0.572,5.6,0.2
1969-02-01,3977,0.8,6.8,0.706,3.1,3.3
1969-02-02,3224,3.1,5.5,0.547,6.9,2.1
1969-02-03,5527,-0.2,4.9,0.572,3.4,0.7
1969-02-04,4522,-4.8,4,0.602,0.2,0
1969-02-05,1633,-4.4,5.5,0.842,0.3,0.2
1969-02-06,1130,2.3,4.5,0.721,2.7,4.4
1969-02-07,3936,0.6,3.4,0.629,2.5,0.4
1969-02-08,6155,-2.7,2.9,0.52,3.1,5.4
1969-02-09,6071,-1.9,0.8,0.504,4.3,2.4
1969-02-10,7829,-5.2,1.2,0.493,1.1,0
1969-02-11,3852,-9.4,0.3,0.504,2.3,4.8
1969-02-12,1465,-6.5,0,0.493,2.8,6.1
1969-02-13,6573,-16.9,-4.8,0.316,0.6,0
1969-02-14,7285,-20.5,-5.5,0.304,0,0
1969-02-15,8792,-19.3,-1,0.304,1.2,0.1
1969-02-16,2763,-16.3,0.1,0.437,5.3,2.1
1969-02-17,3308,-5.3,-1,0.479,1.9,2.9
1969-02-18,4354,-3.6,-1.5,0.52,1.6,0.2
1969-02-19,4438,-8,0.3,0.332,3.3,5.7
1969-02-20,2680,-7.5,4.7,0.731,2.6,1.9
1969-02-21,3475,0.3,5.1,0.706,2.8,2
1969-02-22,6238,2.9,8.1,0.629,3.5,0.1
1969-02-23,7913,3.3,7.2,0.638,3.5,0
1969-02-24,3308,1.6,5.2,0.666,2.9,0
1969-02-25,2805,0.3,2.7,0.602,1.8,0.1
1969-02-26,2512,-1.5,0,0.493,1.9,0.8
1969-02-27,4019,-2,1.1,0.504,1.1,0
1969-02-28,5778,-1.6,4.7,0.638,2.2,0
1969-03-01,1884,-0.9,1.7,0.52,2.4,0
1969-03-02,6824,0.5,6.6,0.615,2.8,0
1969-03-03,4857,1.3,6.3,0.615,3.1,0
1969-03-04,11053,-1.7,8.2,0.437,2.8,0
1969-03-05,12853,-4.2,7.5,0.345,2.8,0
1969-03-06,12393,-4.3,9.5,0.412,1.2,0
1969-03-07,8248,-5.9,4.2,0.585,1.5,0
1969-03-08,13188,-5.3,10.4,0.547,2.4,0
1969-03-09,5778,-1.5,6.8,0.547,2.1,0
1969-03-10,10844,-5.6,7.2,0.437,1.4,3
1969-03-11,4354,-0.5,5,0.706,1.8,2.5
1969-03-12,2721,-1.1,3.9,0.629,2.4,14
1969-03-13,2010,0.6,11.6,1.148,3,9.3
1969-03-14,5234,3.9,12.8,1.22,2,2.1
1969-03-15,3349,2.6,3.2,0.652,4.5,2.6
1969-03-16,1968,-1,1,0.465,4.6,4.3
1969-03-17,2847,-0.9,2.2,0.559,5.1,0.8
1969-03-18,2805,-1,2.5,0.531,4.1,0.8
1969-03-19,7034,-1,7.7,0.721,2.8,0.1
1969-03-20,9839,-0.2,5.7,0.602,2.8,0
1969-03-21,14696,-1.2,7.5,0.424,3.8,0
1969-03-22,15198,-1,5.3,0.424,4.2,0
