"date","srad","tmin","tmax","vapr","wind","prec"
1979-01-01,10656,22.1,28,2.64,1.4,1.3
1979-01-02,7740,21.5,27,2.43,1.4,0
1979-01-03,11700,23,28.5,2.66,0.9,0
1979-01-04,14004,21.5,28.5,2.53,0.8,0
1979-01-05,17316,18.5,29,2.18,0.7,0
1979-01-06,16092,18.7,29,2.4,0.6,0
1979-01-07,9396,19,28.5,2.48,0.5,0.2
1979-01-08,13356,21,29.5,2.87,0.3,0
1979-01-09,9180,19.7,26,2.23,0.7,0.5
1979-01-10,16920,21,29,2.76,0.6,0
1979-01-11,16920,20.1,28.5,2.4,0.6,0
1979-01-12,16704,19.5,29.3,2.48,0.5,0
1979-01-13,17748,20.8,27.5,2.42,1.2,0
1979-01-14,12312,18,27,2.04,0.5,1.8
1979-01-15,11700,21.5,26.5,2.6,0.7,0.2
1979-01-16,10440,21,26.7,2.4,1.1,0
1979-01-17,11268,20.2,27.5,2.4,0.4,0
1979-01-18,14400,22,30.5,2.84,0.1,0
1979-01-19,16272,23,30,2.91,0.8,0
1979-01-20,8964,23.8,29.5,3.08,0.8,1
1979-01-21,15444,23,29,2.66,1,0
1979-01-22,16704,23.8,28,2.57,1.3,0
1979-01-23,19008,21.5,29,2.45,1.2,0
1979-01-24,16272,21.5,29,2.35,1.2,0
1979-01-25,16272,21.5,28.5,2.41,1.2,0
1979-01-26,16704,21.3,28.9,2.58,1,0
1979-01-27,16488,21,29,2.41,0.8,0
1979-01-28,16092,21.5,29,2.71,0.5,0
1979-01-29,14184,21.8,31.5,3.26,0.4,0
1979-01-30,17748,23,30.7,2.91,0.4,1.8
1979-01-31,19620,22.3,31,3.05,0.3,0
1979-02-01,17532,23.9,30.2,2.73,0.5,0
1979-02-02,14400,21.9,28.2,2.64,0.9,0
1979-02-03,18180,22.3,30,2.89,0.8,0
1979-02-04,10224,22.5,28.1,2.74,0.6,0
1979-02-05,18576,23.5,30.5,2.99,1,0
1979-02-06,15660,21.1,29,2.68,1,0
1979-02-07,20880,21.6,29.6,2.46,0.9,0
1979-02-08,16092,22.1,29.2,2.54,0.9,0
1979-02-09,16272,21.2,30.4,2.59,0.9,0
1979-02-10,11268,22.6,30.4,3.19,0.7,0
1979-02-11,20052,21.5,30.1,2.52,1,0
1979-02-12,21708,21.2,29.5,2.43,1.2,0
1979-02-13,12528,20.6,30.2,2.6,0.7,6.9
1979-02-14,20052,21.6,31.4,2.74,0.2,0
1979-02-15,20664,21.3,30.1,2.74,0.5,0
1979-02-16,10224,23.1,28,2.43,0.5,0.2
1979-02-17,17748,21.6,29.5,2.86,0.6,0
1979-02-18,17136,22.5,30.2,2.75,0.6,0
1979-02-19,20880,22.5,31,2.71,0.2,0
1979-02-20,19404,21.6,31.3,3.05,0.5,0
1979-02-21,17136,21,32.6,3.03,0.4,0
1979-02-22,21096,22.1,31.4,2.71,0.4,0
1979-02-23,22356,21.3,32.5,3.05,0.2,0
1979-02-24,21708,21.7,32.7,3.07,0.2,0
1979-02-25,20448,22.5,32.2,2.99,0.4,0
1979-02-26,22140,20.6,30.9,2.59,0.5,0
1979-02-27,19620,20.3,30.6,2.58,0.8,0
1979-02-28,15444,22.1,29.3,2.58,1,0
1979-03-01,17532,21.8,28.5,2.31,1.6,0
1979-03-02,22140,22,28.5,2.35,1.7,0
1979-03-03,20880,21.5,29.5,2.19,0.9,0
1979-03-04,15660,20.5,29.5,2.47,1.5,0
1979-03-05,11268,20.7,27.5,2.31,1.1,0.2
1979-03-06,20268,21.3,29.3,2.39,1.3,0
1979-03-07,22536,20,29.5,2.13,1.3,0
